Names,avgILMdiff,avgIPLINLdiff,avgINLOPLdiff,avgRPEdiff
Skan_nr_29.mat,2.63376623376623,2.48831168831169,3.8987012987013,0.942857142857143
Skan_nr_3.mat,2.25454545454545,13.5818181818182,15.2805194805195,1.02077922077922
Skan_nr_30.mat,2.17662337662338,16.8935064935065,20.3402597402597,0.807792207792208
Skan_nr_31.mat,2.7974025974026,13.8441558441558,16.6493506493506,0.914285714285714
Skan_nr_32.mat,2.36623376623377,5.56363636363636,7.94025974025974,0.701298701298701
Skan_nr_33.mat,2.37142857142857,14.1116883116883,16.8597402597403,0.703896103896104
Skan_nr_34.mat,2.54805194805195,2.26753246753247,3.68311688311688,0.906493506493506
Skan_nr_35.mat,2.5012987012987,18.6727272727273,23.2987012987013,0.831168831168831
Skan_nr_36.mat,2.31948051948052,15.3012987012987,18.6103896103896,0.651948051948052
Skan_nr_37.mat,2.56103896103896,4.84415584415584,5.74025974025974,0.779220779220779
Skan_nr_38.mat,2.77662337662338,11.8857142857143,14.761038961039,0.625974025974026
Skan_nr_39.mat,2.52727272727273,6.61298701298701,7.45194805194805,0.875324675324675
Skan_nr_4.mat,2.09090909090909,14.9714285714286,17.3350649350649,1.05974025974026
Skan_nr_40.mat,2.52727272727273,2.41558441558442,3.35844155844156,0.612987012987013
Skan_nr_41.mat,2.54805194805195,2.54805194805195,3.74025974025974,1.16883116883117
Skan_nr_42.mat,2.67792207792208,2.29090909090909,3.15064935064935,0.774025974025974
Skan_nr_43.mat,2.40779220779221,5.19220779220779,6.48311688311688,0.651948051948052
Skan_nr_44.mat,2.44415584415584,2.48051948051948,3.65454545454545,0.768831168831169
Skan_nr_45.mat,2.34545454545455,10.4415584415584,12.8727272727273,0.680519480519481
Skan_nr_46.mat,78.2701298701299,1.85974025974026,3.68311688311688,0.776623376623377
Skan_nr_47.mat,79.0441558441558,8.12207792207792,11.0467532467532,0.574025974025974
Skan_nr_48.mat,79.4285714285714,5.47012987012987,7.31168831168831,0.571428571428571
Skan_nr_49.mat,2.58441558441558,12.438961038961,15.5142857142857,0.651948051948052
Skan_nr_5.mat,2.29350649350649,11.7766233766234,12.038961038961,0.883116883116883
Skan_nr_50.mat,80.4441558441558,17.5558441558442,22.425974025974,0.807792207792208
Skan_nr_51.mat,81.025974025974,16.5090909090909,21.7948051948052,0.711688311688312
Skan_nr_52.mat,80.8805194805195,3.50649350649351,4.95064935064935,0.501298701298701
Skan_nr_53.mat,81.2077922077922,17.012987012987,22.2207792207792,0.74025974025974
Skan_nr_54.mat,2.63116883116883,13.1792207792208,16.7688311688312,0.662337662337662
Skan_nr_55.mat,2.51428571428571,2.29350649350649,3.44675324675325,0.703896103896104
Skan_nr_56.mat,2.72207792207792,2.48571428571429,3.83896103896104,0.742857142857143
Skan_nr_57.mat,81.2857142857143,3.30649350649351,4.08311688311688,0.911688311688312
Skan_nr_58.mat,2.33246753246753,3.08831168831169,3.89090909090909,0.737662337662338
Skan_nr_59.mat,80.8909090909091,2.63116883116883,3.7974025974026,0.974025974025974
Skan_nr_6.mat,2.24415584415584,14.0233766233766,15.9220779220779,2.3012987012987
Skan_nr_60.mat,80.2987012987013,2.5974025974026,3.64415584415584,1.05194805194805
Skan_nr_61.mat,79.774025974026,2.17922077922078,3.67272727272727,1.09090909090909
Skan_nr_62.mat,79.3194805194805,3.4,4.66233766233766,1.06493506493506
Skan_nr_63.mat,79.1012987012987,3.98181818181818,5.04935064935065,1.05714285714286
Skan_nr_64.mat,78.4051948051948,11.9766233766234,16.1376623376623,1.02077922077922
Skan_nr_65.mat,77.9948051948052,3.3012987012987,4.42077922077922,1.03376623376623
Skan_nr_66.mat,77.1922077922078,3.24675324675325,3.8987012987013,0.896103896103896
Skan_nr_67.mat,76.7064935064935,2.74025974025974,3.79480519480519,0.888311688311688
Skan_nr_68.mat,76.6337662337662,2.68051948051948,3.88571428571429,6.33766233766234
Skan_nr_69.mat,76.0493506493506,2.87012987012987,4.25974025974026,5.97922077922078
Skan_nr_7.mat,2.43636363636364,12.187012987013,12.9818181818182,0.755844155844156
Skan_nr_70.mat,76.212987012987,5.52987012987013,7.69090909090909,0.67012987012987
Skan_nr_71.mat,75.5636363636364,7.14285714285714,9.77142857142857,7.17922077922078
Skan_nr_72.mat,76.574025974026,4.5974025974026,4.83896103896104,0.542857142857143
Skan_nr_73.mat,77.0675324675325,4.42077922077922,5.35844155844156,0.667532467532468
Skan_nr_74.mat,76.761038961039,4.91428571428571,6.12987012987013,6.81298701298701
